year,month,day,time,day_of_week
2022,Mar,7,05:38:15,Sen
2022,Mar,7,05:54:57,Sen
2022,Mar,7,05:55:06,Sen
2022,Mar,7,05:55:14,Sen
2022,Mar,7,05:56:07,Sen
2022,Mar,7,05:57:03,Sen
2022,Mar,7,05:58:06,Sen
2022,Mar,7,05:59:07,Sen
2022,Mar,7,06:00:05,Sen
2022,Mar,7,06:01:05,Sen
2022,Mar,7,06:02:06,Sen
2022,Mar,7,06:03:04,Sen
2022,Mar,7,06:04:04,Sen
2022,Mar,7,06:05:04,Sen
2022,Mar,7,06:06:04,Sen
2022,Mar,7,06:07:04,Sen
2022,Mar,7,06:08:04,Sen
2022,Mar,7,06:09:05,Sen
2022,Mar,7,06:10:04,Sen
2022,Mar,7,06:11:05,Sen
2022,Mar,7,06:12:05,Sen
